player_id,minutes_played,attempted_passes,xpass_completion_percentage,season_name
0Oq6wv26Q6,35,10,0.8027000000000001,2020
0Oq6wv26Q6,78,24,0.6654,2020
0Oq6wv26Q6,65,10,0.9116000000000001,2021
0Oq6wv26Q6,32,4,0.6707000000000001,2021
0Oq6wv26Q6,67,13,0.8184,2021
0Oq6wv26Q6,86,14,0.8281000000000001,2021
0Oq6wv26Q6,91,16,0.6954,2021
0Oq6wv26Q6,87,20,0.6163000000000001,2021
0Oq6wv26Q6,68,19,0.7121000000000001,2021
0Oq6wv26Q6,61,16,0.7352000000000001,2021
0Oq6wv26Q6,33,9,0.6881,2021
0Oq6wv26Q6,88,26,0.7191000000000001,2021
0Oq6wv26Q6,32,2,0.9662000000000001,2021
0Oq6wv26Q6,60,10,0.6872,2021
0Oq6wv26Q6,31,5,0.7154,2021
0Oq6wv26Q6,37,5,0.8006000000000001,2021
0Oq6wv26Q6,52,8,0.8016000000000001,2021
0Oq6wv26Q6,35,7,0.7728,2021
0Oq6wv26Q6,37,6,0.7609,2021
0Oq6wv26Q6,30,2,0.5849,2021
0Oq6wv26Q6,50,3,0.8491000000000001,2021
0Oq6wv26Q6,72,12,0.8541000000000001,2021
0Oq6wv26Q6,99,23,0.6729,2021
0Oq6wv26Q6,78,8,0.8277,2021
0Oq6wv26Q6,36,9,0.7856000000000001,2021
0Oq6wv26Q6,84,16,0.8107000000000001,2022
0Oq6wv26Q6,99,26,0.7076,2022
0Oq6wv26Q6,82,16,0.7087,2022
0Oq6wv26Q6,62,8,0.6963,2022
0Oq6wv26Q6,78,25,0.8057000000000001,2022
0Oq6wv26Q6,102,34,0.7126,2022
0Oq6wv26Q6,76,6,0.772,2022
0Oq6wv26Q6,101,15,0.6921,2022
0Oq6wv26Q6,99,15,0.6756,2022
0Oq6wv26Q6,97,17,0.8150000000000001,2022
0Oq6wv26Q6,36,9,0.7083,2022
0Oq6wv26Q6,86,15,0.7485,2022
0Oq6wv26Q6,101,17,0.7579,2022
0Oq6wv26Q6,33,9,0.7511,2022
0Oq6wv26Q6,68,14,0.7385,2022
0Oq6wv26Q6,70,13,0.8948,2022
0Oq6wv26Q6,97,27,0.7085,2022
0Oq6wv26Q6,103,13,0.8528,2022
0Oq6wv26Q6,78,17,0.7387,2022
0Oq6wv26Q6,69,10,0.7798,2022
0Oq6wv26Q6,35,10,0.6867000000000001,2022
0Oq6wv26Q6,50,9,0.7944,2022
0Oq6wv26Q6,97,13,0.725,2022
0Oq6wv26Q6,91,9,0.8503000000000001,2022
0Oq6wv26Q6,104,14,0.6765,2022
0Oq6wv26Q6,90,21,0.8371000000000001,2022
0Oq6wv26Q6,86,19,0.6724,2022
0Oq6wv26Q6,68,19,0.8018000000000001,2022
0Oq6wv26Q6,64,18,0.8325,2022
0Oq6wv26Q6,48,5,0.7339,2022
0Oq6wv26Q6,52,7,0.7533000000000001,2023
0Oq6wv26Q6,30,3,0.7939,2023
0Oq6wv26Q6,80,23,0.758,2023
0Oq6wv26Q6,62,13,0.8531000000000001,2023
0Oq6wv26Q6,38,7,0.8758,2023
0Oq6wv26Q6,68,16,0.7964,2023
0Oq6wv26Q6,32,5,0.9304,2023
0Oq6wv26Q6,71,13,0.7618,2023
0Oq6wv26Q6,63,6,0.6524,2023
0Oq6wv26Q6,72,10,0.7637,2023
0Oq6wv26Q6,77,13,0.7064,2023
0Oq6wv26Q6,31,3,0.9362,2023
0Oq6wv26Q6,96,26,0.8150000000000001,2023
0Oq6wv26Q6,88,32,0.8568,2023
0Oq6wv26Q6,68,8,0.6798000000000001,2023
0Oq6wv26Q6,112,18,0.8187000000000001,2023
0Oq6wv26Q6,30,2,0.7683,2023
0Oq6wv26Q6,100,28,0.7293000000000001,2023
0x5gXlrq7O,68,23,0.854,2018
0x5gXlrq7O,98,47,0.869,2018
0x5gXlrq7O,102,55,0.8026000000000001,2018
0x5gXlrq7O,99,46,0.8175,2018
0x5gXlrq7O,96,40,0.8866,2018
0x5gXlrq7O,107,41,0.7556,2018
0x5gXlrq7O,98,56,0.7995,2018
0x5gXlrq7O,95,62,0.8464,2018
0x5gXlrq7O,87,40,0.7572,2018
0x5gXlrq7O,97,81,0.8616,2018
0x5gXlrq7O,95,74,0.8745,2018
0x5gXlrq7O,96,67,0.8375,2018
0x5gXlrq7O,103,44,0.7829,2018
0x5gXlrq7O,98,41,0.809,2018
0x5gXlrq7O,99,54,0.7367,2018
0x5gXlrq7O,102,34,0.739,2018
0x5gXlrq7O,86,51,0.9018,2018
0x5gXlrq7O,97,55,0.8439000000000001,2018
0x5gXlrq7O,99,27,0.7583000000000001,2018
0x5gXlrq7O,95,53,0.8201,2018
0x5gXlrq7O,98,47,0.8204,2018
0x5gXlrq7O,99,53,0.7835000000000001,2018
0x5gXlrq7O,98,50,0.7895000000000001,2018
0x5gXlrq7O,95,47,0.8278000000000001,2018
0x5gXlrq7O,101,59,0.7626000000000001,2018
0x5gXlrq7O,99,42,0.8306,2018
0x5gXlrq7O,95,60,0.8919,2018
0x5gXlrq7O,102,56,0.771,2018
0x5gXlrq7O,97,24,0.7691,2018
0x5gXlrq7O,96,45,0.8175,2018
0x5gXlrq7O,99,42,0.7931,2018
0x5gXlrq7O,98,54,0.744,2018
0x5gXlrq7O,85,103,0.8784000000000001,2018
0x5gXlrq7O,102,58,0.7993,2018
0x5gXlrq7O,97,36,0.8238000000000001,2018
0x5gXlrq7O,100,34,0.7662,2018
0x5gXlrq7O,102,47,0.7513000000000001,2019
0x5gXlrq7O,86,38,0.7671,2019
0x5gXlrq7O,32,14,0.6940000000000001,2019
0x5gXlrq7O,72,35,0.7464000000000001,2019
0x5gXlrq7O,90,19,0.8443,2019
0x5gXlrq7O,66,28,0.7768,2019
0x5gXlrq7O,38,23,0.8086,2019
0x5gXlrq7O,68,30,0.7965,2019
0x5gXlrq7O,102,56,0.7568,2019
0x5gXlrq7O,73,36,0.7782,2019
0x5gXlrq7O,76,19,0.7158,2019
0x5gXlrq7O,103,42,0.7665000000000001,2019
0x5gXlrq7O,98,59,0.848,2019
0x5gXlrq7O,93,28,0.8274,2019
0x5gXlrq7O,70,18,0.7024,2019
0x5gXlrq7O,64,26,0.8079000000000001,2019
0x5gXlrq7O,47,14,0.7456,2020
0x5gXlrq7O,62,14,0.773,2020
0x5gXlrq7O,109,37,0.8536,2020
0x5gXlrq7O,86,51,0.8685,2020
0x5gXlrq7O,62,23,0.8246,2020
0x5gXlrq7O,80,33,0.7322000000000001,2020
0x5gXlrq7O,50,9,0.6114,2020
0x5gXlrq7O,30,12,0.9633,2020
0x5gXlrq7O,98,51,0.878,2020
0x5gXlrq7O,37,14,0.7995,2020
0x5gXlrq7O,49,19,0.7903,2020
0x5gXlrq7O,87,30,0.8255,2020
0x5gXlrq7O,95,31,0.6393,2020
0x5gXlrq7O,77,29,0.7754000000000001,2020
0x5gXlrq7O,104,40,0.8116,2020
0x5gXlrq7O,98,55,0.8078000000000001,2020
0x5gXlrq7O,96,32,0.7772,2020
0x5gXlrq7O,73,33,0.8238000000000001,2020
0x5gXlrq7O,35,5,0.4738,2021
0x5gXlrq7O,102,37,0.8538,2021
0x5gXlrq7O,82,32,0.8011,2021
0x5gXlrq7O,101,38,0.8661000000000001,2021
0x5gXlrq7O,50,27,0.7765000000000001,2021
0x5gXlrq7O,98,66,0.8401000000000001,2021
0x5gXlrq7O,68,28,0.8198000000000001,2021
0x5gXlrq7O,82,52,0.8242,2021
0x5gXlrq7O,97,41,0.8252,2021
0x5gXlrq7O,97,39,0.7752,2021
0x5gXlrq7O,57,15,0.7528,2021
0x5gXlrq7O,84,34,0.7582,2021
0x5gXlrq7O,99,41,0.7369,2021
0x5gXlrq7O,87,33,0.8454,2021
0x5gXlrq7O,99,44,0.8386,2021
0x5gXlrq7O,39,17,0.7466,2021
0x5gXlrq7O,90,46,0.8545,2021
0x5gXlrq7O,79,34,0.8152,2021
0x5gXlrq7O,92,54,0.8573000000000001,2021
0x5gXlrq7O,76,28,0.8924000000000001,2021
0x5gXlrq7O,91,54,0.7398,2021
0x5gXlrq7O,65,26,0.7831,2021
